first_gen,child,parent
0,b2750e5d92975204,bd2de118e66c6bec
0,c99f5a160f7334b1,b28ac4877112faa0
1,b8aea599a4584465,d8571e86c1617b58
1,3f01903e159d7caa,68734f34877f8c46
1,8e5ee8c1e0ec33e2,68734f34877f8c46
1,9285249b16c4bd41,68734f34877f8c46
1,418490592739db19,f655ca00939594fd
1,ead59b938c1fa6db,07b00aa38ae053d2
1,0e00a64e3cf66621,07b00aa38ae053d2
1,e828f70337879fd1,68734f34877f8c46
1,d44d3d7d98e75ccf,efbda39c88498347
1,232239254a5e3a12,efbda39c88498347
1,130d368e5780ffd7,a07d09e730b6b267
1,ac82776dc525bad5,68734f34877f8c46
1,886ccdabc9b99cce,68734f34877f8c46
1,3ee34819368b8241,1a58a0643ff24962
1,a56d391ec23f3fba,1a58a0643ff24962
1,d1abbd04f1d539fb,68734f34877f8c46
1,666988596c4caa90,68734f34877f8c46
1,fd9ae2bc67c48c3e,68734f34877f8c46
1,619e9a287f8a6119,68734f34877f8c46
1,33023cd271b082ad,68734f34877f8c46
1,42447fd64589ef05,68734f34877f8c46
1,043cf0bfd8669805,68734f34877f8c46
1,1bf388c13cd9063c,eaac07c58f85608e
1,a80d74a14370c8e4,d8571e86c1617b58
1,8d9ed157a99edac0,9f25c27232628402
1,50465841ebd83190,68734f34877f8c46
1,6556c19b29ddaaed,
1,949ffea43fb78f48,68734f34877f8c46
1,297ddccfcabac1e1,af4f4beb944292bd
1,04bc4f61b8157a4c,3ccd47ec3a11f922
1,4688eced01a3a121,8442f355dbb6d1f6
1,c044bea048e607ac,330aa90b21e174b1
1,5cf3d2554b4fc156,a07d09e730b6b267
1,ee7f2a92d26c40b4,290f35b83b457dd4
1,26da1428eae9f833,290f35b83b457dd4
1,33695b51aaa46be7,fdc11668bbdacf72
1,5eed93b5603e0c47,290f35b83b457dd4
1,009d6b93fc25c8ba,290f35b83b457dd4
1,7838aad981b1b7ca,290f35b83b457dd4
1,7954e52a3b86e38c,a07d09e730b6b267
1,737dde18f2c1af28,d6a9944b16b0624b
1,103b3532854852e8,bbc5c0a694e0e931
1,01b59bc0d14e5c80,fdc11668bbdacf72
1,1c40a8069d85d33c,d6a9944b16b0624b
1,3648ac79ed30d619,b8e5f9276a4f1995
1,bd01cead17c44bf2,bbc5c0a694e0e931
1,b041e5796ff9e8c3,4fd0e3cbac7c4702
1,2891cd2cc1b1b090,b28ac4877112faa0
1,6ee813409fc9a3cf,102be626f7e10cbc
1,b060c24946554174,a186554732c5f752
1,a88f2479123efb34,d8571e86c1617b58
1,2fbe1570d4c87b31,d8571e86c1617b58
1,0ecb3785133391ab,d8571e86c1617b58
1,4a4f709ccec2dad8,d8571e86c1617b58
1,b2ffb1368e28923f,d8571e86c1617b58
1,96c0b6b6c412731e,d8571e86c1617b58
1,a223e1a4408a812d,d8571e86c1617b58
1,a6fffeba580cfd3b,d8571e86c1617b58
1,68aae48fa69e88e7,d8571e86c1617b58
1,947c4551a8524bac,d8571e86c1617b58
1,884adbb2a9c99b02,d8571e86c1617b58
1,0eec3a10560d8819,d8571e86c1617b58
1,17bb964dd1a22f6e,fdc11668bbdacf72
1,590803f128d658c9,d8571e86c1617b58
1,b5c4df2a4b19d47d,d8571e86c1617b58
1,6ff43f828421c265,bd2de118e66c6bec
1,f12334c5ac218098,bd2de118e66c6bec
1,b2c16f0f9becddc7,bd2de118e66c6bec
1,d9d044ff9b7d660a,bd2de118e66c6bec
1,3fd1d553d57c6cd6,bd2de118e66c6bec
1,fb5a4cbb99c5db59,bd2de118e66c6bec
1,673d370dfbfee611,bd2de118e66c6bec
1,a22c08603b5646ae,bd2de118e66c6bec
1,9924b4ed46c4c50a,bd2de118e66c6bec
1,7d71e486ac1e7e3d,bd2de118e66c6bec
1,172aaae11c2f73c8,bd2de118e66c6bec
1,2b2556883f44ea21,bd2de118e66c6bec
1,180f84a068678edc,bd2de118e66c6bec
1,7720a1efc4c6b93b,b1cea5c5cde529fa
1,46a4e69f18c355a1,a3cce038a6f1c0c2
1,3da1717015380c7c,bd2de118e66c6bec
1,f3f4de9672d02ed0,68734f34877f8c46
1,b3424a38adb329d5,d8571e86c1617b58
1,ba51294567554253,290f35b83b457dd4
1,d2ffc20dc3792f77,b1cea5c5cde529fa
1,a62ade78d3e18740,d1abbd04f1d539fb
1,8ab119884de0038c,
1,1a893149d7a510a4,4d3e2d0349fa3dc2
1,e5dde21e5086e295,b1cea5c5cde529fa
1,fccd2409b56ff065,e5dde21e5086e295
1,01d6b702d84f3b84,07b00aa38ae053d2
1,7d7e9fc60924557e,07b00aa38ae053d2
1,a5a58b1bee2d4cd1,07b00aa38ae053d2
1,18be9a1bce9eb134,07b00aa38ae053d2
1,b8b4987662455476,e5dde21e5086e295
1,7f9674328cda7c23,e5dde21e5086e295
1,76268f3393a99ada,e5dde21e5086e295
1,2522087e280efc69,07b00aa38ae053d2
1,07594d2d93ddc562,68734f34877f8c46
1,e26a17573faeaf52,efbda39c88498347
1,bc2bb692440af925,1a58a0643ff24962
1,0766971349dcac69,fdc11668bbdacf72
1,6336de5003fc3cda,3ee34819368b8241
1,c66017bb03dbc963,1a58a0643ff24962
1,396453bfefae3156,b1cea5c5cde529fa
1,0edb14001b769711,396453bfefae3156
1,7ce97410598935df,68734f34877f8c46
1,a901f2c45e4ca410,68734f34877f8c46
1,88106f18486191aa,68734f34877f8c46
1,213045ba77ae1e21,68734f34877f8c46
1,9f4c40c1a3bfc110,396453bfefae3156
1,2ba918a0d12be6be,5e5a6c5e75cb1cc3
1,476abf2257c4ae31,68734f34877f8c46
1,564914705f49651e,68734f34877f8c46
1,ede892db28351465,396453bfefae3156
1,c0cdf756b722d1db,68734f34877f8c46
1,ee56750777eb3006,396453bfefae3156
1,4f3a94ffd2af9604,d8571e86c1617b58
1,f806320690848204,d8571e86c1617b58
1,4276c1b4d73fe3db,68734f34877f8c46
