pop,gen,best,mean,unique
2,142,8.762,7.3633,73
3,142,8.762,7.2127,83
0,143,8.762,7.3795,77
1,143,8.762,7.3335,81
2,143,8.762,7.2629,72
3,143,8.762,7.1388,70
0,144,8.762,7.2964,72
1,144,8.762,7.3765,80
2,144,8.762,7.2383,77
3,144,8.762,7.314,73
0,145,8.762,7.3145,67
1,145,8.762,7.2391,78
2,145,8.762,7.1251,85
3,145,8.762,7.3161,75
0,146,8.762,7.3028,79
1,146,8.762,7.2431,81
2,146,8.762,7.2676,74
3,146,8.762,7.2259,79
0,147,8.762,7.2584,71
1,147,8.762,7.2814,64
2,147,8.762,7.3666,71
3,147,8.762,7.1239,91
0,148,8.762,7.3471,81
1,148,8.762,7.2883,79
2,148,8.762,7.2569,75
3,148,8.762,7.1137,76
0,149,8.762,7.1592,82
1,149,8.762,7.4277,64
2,149,8.762,7.321,70
3,149,8.762,7.137,87
0,150,8.762,7.2523,83
1,150,8.762,7.2887,83
2,150,8.762,7.2031,72
3,150,8.762,7.2328,75
0,151,8.762,7.3089,67
1,151,8.762,7.2814,82
2,151,8.762,7.2718,75
3,151,8.762,7.3077,66
0,152,8.762,7.3155,71
1,152,8.762,7.4131,73
2,152,8.762,7.1876,71
3,152,8.762,7.2933,81
0,153,8.762,7.314,70
1,153,8.762,7.3384,77
2,153,8.762,7.3816,69
3,153,8.762,7.2792,74
0,154,8.762,7.22,84
1,154,8.762,7.2933,82
2,154,8.762,7.3224,77
3,154,8.762,7.3031,70
0,155,8.762,7.3802,68
1,155,8.762,7.3446,71
2,155,8.762,7.265,77
3,155,8.762,7.4039,77
0,156,8.762,7.2733,77
1,156,8.762,7.1389,84
2,156,8.762,7.1781,82
3,156,8.762,7.2867,69
0,157,8.762,7.405,75
1,157,8.762,7.363,68
2,157,8.762,7.4426,74
3,157,8.762,7.238,75
0,158,8.762,7.2015,74
1,158,8.762,7.208,72
2,158,8.762,7.4206,72
3,158,8.762,7.293,77
0,159,8.762,7.2363,80
1,159,8.762,7.3978,68
2,159,8.762,7.3351,73
3,159,8.762,7.3546,80
0,160,8.762,7.4569,77
1,160,8.762,7.3524,69
2,160,8.762,7.268,68
3,160,8.762,7.3234,75
0,161,8.762,7.3213,70
1,161,8.762,7.2757,76
2,161,8.762,7.2966,85
3,161,8.762,7.2742,79
0,162,8.762,7.3097,81
1,162,8.762,7.4626,73
2,162,8.762,7.2394,65
3,162,8.762,7.2896,82
0,163,8.762,7.4537,70
1,163,8.762,7.3043,80
2,163,8.762,7.2236,84
3,163,8.762,7.3154,80
0,164,8.762,7.3218,80
1,164,8.762,7.3103,75
2,164,8.762,7.3235,71
3,164,8.762,7.4202,68
0,165,8.762,7.19,75
1,165,8.762,7.1415,79
2,165,8.762,7.2827,74
3,165,8.762,7.1665,75
0,166,8.762,7.3299,84
1,166,8.762,7.1668,79
2,166,8.762,7.4545,71
3,166,8.762,7.1847,74
0,167,8.762,7.2061,77
1,167,8.762,7.2405,81
2,167,8.762,7.3403,75
3,167,8.762,7.2556,88
0,168,8.762,7.3278,69
1,168,8.762,7.2733,78
2,168,8.762,7.3139,76
3,168,8.762,7.3591,74
0,169,8.762,7.3011,76
1,169,8.762,7.2185,83
2,169,8.762,7.407,71
3,169,8.762,7.5336,75
0,170,8.762,7.1536,77
1,170,8.762,7.3932,75
2,170,8.762,7.4318,78
3,170,8.762,7.2696,72
0,171,8.762,7.2649,80
1,171,8.762,7.3194,78
2,171,8.762,7.3968,73
3,171,8.762,7.1312,80
0,172,8.762,7.2897,71
1,172,8.762,7.376,79
2,172,8.762,7.3006,79
3,172,8.762,7.3601,75
0,173,8.762,7.3728,79
1,173,8.762,7.3456,76
2,173,8.762,7.189,74
3,173,8.762,7.3722,67
0,174,8.762,7.297,70
1,174,8.762,7.2831,67
2,174,8.762,7.2346,82
3,174,8.762,7.1972,78
0,175,8.762,7.3114,77
1,175,8.762,7.4145,73
2,175,8.762,7.4551,74
3,175,8.762,7.2637,79
0,176,8.762,7.2936,76
1,176,8.762,7.329,73
2,176,8.762,7.2043,83
3,176,8.762,7.151,77
0,177,8.762,7.402,68
1,177,8.762,7.5037,67
2,177,8.762,7.3164,84
3,177,8.762,7.3717,76
0,178,8.762,7.4128,74
1,178,8.762,7.2885,81
2,178,8.762,7.2609,79
3,178,8.762,7.359,73
0,179,8.762,7.3073,69
1,179,8.762,7.491,77
2,179,8.762,7.3318,74
3,179,8.762,7.3528,79
0,180,8.762,7.3303,72
1,180,8.762,7.3469,73
2,180,8.762,7.4158,78
3,180,8.762,7.2617,80
0,181,8.762,7.1798,74
1,181,8.762,7.2244,74
2,181,8.762,7.2728,79
3,181,8.762,7.3767,72
0,182,8.762,7.3547,78
1,182,8.762,7.1564,74
2,182,8.762,7.224,89
3,182,8.762,7.2364,78
0,183,8.762,7.3862,70
1,183,8.762,7.3019,74
2,183,8.762,7.2917,69
3,183,8.762,7.2861,81
0,184,8.762,7.3614,62
1,184,8.762,7.2317,79
2,184,8.762,7.2033,80
3,184,8.762,7.2887,69
0,185,8.762,7.4333,67
1,185,8.762,7.3442,78
2,185,8.762,7.1872,85
3,185,8.762,7.2069,92
0,186,8.762,7.2361,69
1,186,8.762,7.2954,83
2,186,8.762,7.2756,69
3,186,8.762,7.4239,75
0,187,8.762,7.1933,72
1,187,8.762,7.2284,75
2,187,8.762,7.4388,65
3,187,8.762,7.2738,64
0,188,8.762,7.4647,66
1,188,8.762,7.334,74
2,188,8.762,7.3922,77
3,188,8.762,7.4028,71
0,189,8.762,7.2941,80
1,189,8.762,7.3217,70
2,189,8.762,7.3528,82
3,189,8.762,7.1256,80
0,190,8.762,7.1938,79
1,190,8.762,7.2735,81
2,190,8.762,7.3329,76
3,190,8.762,7.3227,75
0,191,8.762,7.22,75
1,191,8.762,7.3373,72
2,191,8.762,7.2914,75
3,191,8.762,7.2894,73
0,192,8.762,7.1909,79
1,192,8.762,7.3606,70
2,192,8.762,7.2311,83
3,192,8.762,7.3234,83
0,193,8.762,7.3695,71
1,193,8.762,7.3633,74
2,193,8.762,7.2648,72
3,193,8.762,7.4484,76
0,194,8.762,7.2031,76
1,194,8.762,7.4153,71
2,194,8.762,7.2546,78
3,194,8.762,7.2218,78
0,195,8.762,7.3686,76
1,195,8.762,7.3736,65
2,195,8.762,7.0909,75
3,195,8.762,7.3226,70
0,196,8.762,7.2977,69
1,196,8.762,7.3213,67
2,196,8.762,7.4006,66
3,196,8.762,7.3349,61
0,197,8.762,7.1203,84
1,197,8.762,7.2744,76
2,197,8.762,7.3137,80
3,197,8.762,7.3192,77
0,198,8.762,7.2494,76
1,198,8.762,7.4794,69
2,198,8.762,7.2668,69
3,198,8.762,7.3714,75
0,199,8.762,7.2845,67
1,199,8.762,7.2059,73
2,199,8.762,7.3799,76
3,199,8.762,7.2494,82
0,200,8.762,7.3345,65
1,200,8.762,7.3865,69
2,200,8.762,7.3195,87
3,200,8.762,7.1151,80
0,201,8.762,7.2278,76
1,201,8.762,7.3465,86
2,201,8.762,7.4104,79
3,201,8.762,7.2923,76
0,202,8.762,7.3508,70
1,202,8.762,7.2586,80
2,202,8.762,7.1626,77
3,202,8.762,7.2675,75
0,203,8.762,7.2707,76
1,203,8.762,7.3972,71
2,203,8.762,7.3315,79
3,203,8.762,7.4065,75
0,204,8.762,7.261,72
1,204,8.762,7.2092,79
2,204,8.762,7.2138,82
3,204,8.762,7.3976,68
0,205,8.762,7.2396,78
1,205,8.762,7.2586,85
2,205,8.762,7.1614,92
3,205,8.762,7.4198,69
0,206,8.762,7.2036,76
1,206,8.762,7.076,80
2,206,8.762,7.3431,70
3,206,8.762,7.3546,77
0,207,8.762,7.3932,73
1,207,8.762,7.2369,81
2,207,8.762,7.3306,82
3,207,8.762,7.3703,72
0,208,8.762,7.1658,83
1,208,8.762,7.2701,78
2,208,8.762,7.2427,88
3,208,8.762,7.1188,87
0,209,8.762,7.1262,76
1,209,8.762,7.2779,78
2,209,8.762,7.1668,79
3,209,8.762,7.5445,67
0,210,8.762,7.0606,73
1,210,8.762,7.2034,73
2,210,8.762,7.2434,77
3,210,8.762,7.3469,74
0,211,8.762,7.2973,81
1,211,8.762,7.2287,85
2,211,8.762,7.2538,77
3,211,8.762,7.4058,77
0,212,8.762,7.4387,73
1,212,8.762,7.2322,81
2,212,8.762,7.2887,83
3,212,8.762,7.2053,81
0,213,8.762,7.2508,74
1,213,8.762,7.3093,80
2,213,8.762,7.3142,73
3,213,8.762,7.2937,84
0,214,8.762,7.3698,65
1,214,8.762,7.1963,82
2,214,8.762,7.2955,84
3,214,8.762,7.2064,80
0,215,8.762,7.1614,77
1,215,8.762,7.4381,68
2,215,8.762,7.4295,73
3,215,8.762,7.1811,79
0,216,8.762,7.244,71
1,216,8.762,7.2998,73
2,216,8.762,7.3131,68
3,216,8.762,7.2191,79
0,217,8.762,7.3702,68
1,217,8.762,7.2173,83
2,217,8.762,7.3697,74
3,217,8.762,7.3115,77
0,218,8.762,7.3394,81
1,218,8.762,7.298,73
2,218,8.762,7.2899,78
3,218,8.762,7.4311,71
0,219,8.762,7.1529,88
