strategy,seed,budget_target,budget_used,best_found,pred_top16,spearman_5k,violations,wall_s,history
v2-prior,44,384,384,4.1231,3.0732,0.4965,0,37.1,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.71926907017}, {""round"": 1, ""budget"": 48, ""best_label"": 3.84957986757}, {""round"": 2, ""budget"": 72, ""best_label"": 3.75896595024}, {""round"": 3, ""budget"": 96, ""best_label"": 3.7997754490300006}, {""round"": 4, ""budget"": 120, ""best_label"": 3.82757335017}, {""round"": 5, ""budget"": 144, ""best_label"": 3.95462864826}, {""round"": 6, ""budget"": 168, ""best_label"": 4.12310906338}, {""round"": 7, ""budget"": 192, ""best_label"": 3.82689906554}, {""round"": 8, ""budget"": 216, ""best_label"": 3.87186570787}, {""round"": 9, ""budget"": 240, ""best_label"": 3.71538026011}, {""round"": 10, ""budget"": 264, ""best_label"": 3.83644186505}, {""round"": 11, ""budget"": 288, ""best_label"": 3.77171765063}, {""round"": 12, ""budget"": 312, ""best_label"": 3.72442794925667}, {""round"": 13, ""budget"": 336, ""best_label"": 3.80093557575}, {""round"": 14, ""budget"": 360, ""best_label"": 3.89801527925}, {""round"": 15, ""budget"": 384, ""best_label"": 3.8847714694}]"
v2-prior,55,384,384,3.9546,3.361,0.5404,0,37.0,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.95462864826}, {""round"": 1, ""budget"": 48, ""best_label"": 3.75193194198}, {""round"": 2, ""budget"": 72, ""best_label"": 3.86731774083}, {""round"": 3, ""budget"": 96, ""best_label"": 3.73702369118}, {""round"": 4, ""budget"": 120, ""best_label"": 3.75801739335}, {""round"": 5, ""budget"": 144, ""best_label"": 3.8363316404}, {""round"": 6, ""budget"": 168, ""best_label"": 3.79740829371}, {""round"": 7, ""budget"": 192, ""best_label"": 3.8467486153400015}, {""round"": 8, ""budget"": 216, ""best_label"": 3.90389095979}, {""round"": 9, ""budget"": 240, ""best_label"": 3.853267411080002}, {""round"": 10, ""budget"": 264, ""best_label"": 3.9297767208800014}, {""round"": 11, ""budget"": 288, ""best_label"": 3.77188127951}, {""round"": 12, ""budget"": 312, ""best_label"": 3.70366132061}, {""round"": 13, ""budget"": 336, ""best_label"": 3.76157113959}, {""round"": 14, ""budget"": 360, ""best_label"": 3.88413151855}, {""round"": 15, ""budget"": 384, ""best_label"": 3.8926150629}]"
v2-prior,66,384,384,3.9885,3.4496,0.5213,0,37.3,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.75983880995}, {""round"": 1, ""budget"": 48, ""best_label"": 3.87634027049}, {""round"": 2, ""budget"": 72, ""best_label"": 3.78029799109}, {""round"": 3, ""budget"": 96, ""best_label"": 3.8024267471800006}, {""round"": 4, ""budget"": 120, ""best_label"": 3.76495602132}, {""round"": 5, ""budget"": 144, ""best_label"": 3.77088099505}, {""round"": 6, ""budget"": 168, ""best_label"": 3.68029104611}, {""round"": 7, ""budget"": 192, ""best_label"": 3.80641710227}, {""round"": 8, ""budget"": 216, ""best_label"": 3.84374539121}, {""round"": 9, ""budget"": 240, ""best_label"": 3.67454016989}, {""round"": 10, ""budget"": 264, ""best_label"": 3.774418186865}, {""round"": 11, ""budget"": 288, ""best_label"": 3.91195804468}, {""round"": 12, ""budget"": 312, ""best_label"": 3.73674820301}, {""round"": 13, ""budget"": 336, ""best_label"": 3.81340999167}, {""round"": 14, ""budget"": 360, ""best_label"": 3.98846861193}, {""round"": 15, ""budget"": 384, ""best_label"": 3.73896815569}]"
v2-prior,77,384,384,3.8817,3.0761,0.536,0,38.7,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.7378860328900014}, {""round"": 1, ""budget"": 48, ""best_label"": 3.8425349291300006}, {""round"": 2, ""budget"": 72, ""best_label"": 3.85805760359}, {""round"": 3, ""budget"": 96, ""best_label"": 3.7718812519}, {""round"": 4, ""budget"": 120, ""best_label"": 3.76447009302}, {""round"": 5, ""budget"": 144, ""best_label"": 3.69453143335}, {""round"": 6, ""budget"": 168, ""best_label"": 3.79471033133}, {""round"": 7, ""budget"": 192, ""best_label"": 3.75167068505}, {""round"": 8, ""budget"": 216, ""best_label"": 3.77015362216}, {""round"": 9, ""budget"": 240, ""best_label"": 3.88165204632}, {""round"": 10, ""budget"": 264, ""best_label"": 3.7872300293}, {""round"": 11, ""budget"": 288, ""best_label"": 3.78978080696}, {""round"": 12, ""budget"": 312, ""best_label"": 3.73044553411}, {""round"": 13, ""budget"": 336, ""best_label"": 3.714627734730002}, {""round"": 14, ""budget"": 360, ""best_label"": 3.77769544731}, {""round"": 15, ""budget"": 384, ""best_label"": 3.85888137894}]"
v2-prior,88,384,384,4.0956,3.3097,0.514,0,37.2,"[{""round"": 0, ""budget"": 24, ""best_label"": 3.72143940023}, {""round"": 1, ""budget"": 48, ""best_label"": 3.87308538615}, {""round"": 2, ""budget"": 72, ""best_label"": 3.893948897869999}, {""round"": 3, ""budget"": 96, ""best_label"": 3.9755409443}, {""round"": 4, ""budget"": 120, ""best_label"": 3.63401367453}, {""round"": 5, ""budget"": 144, ""best_label"": 3.88443774884}, {""round"": 6, ""budget"": 168, ""best_label"": 3.78987906099}, {""round"": 7, ""budget"": 192, ""best_label"": 3.79002316523}, {""round"": 8, ""budget"": 216, ""best_label"": 3.77597430847}, {""round"": 9, ""budget"": 240, ""best_label"": 3.82876468265}, {""round"": 10, ""budget"": 264, ""best_label"": 3.76263005562}, {""round"": 11, ""budget"": 288, ""best_label"": 3.85686379695}, {""round"": 12, ""budget"": 312, ""best_label"": 4.09563969548}, {""round"": 13, ""budget"": 336, ""best_label"": 3.77189726}, {""round"": 14, ""budget"": 360, ""best_label"": 3.83992850846}, {""round"": 15, ""budget"": 384, ""best_label"": 3.8830984534199993}]"
v1,11,96,30,4.0192,1.8006,0.2467,0,362.7,"[{""round"": 0, ""budget"": 1, ""best_label"": 3.54112870241}, {""round"": 1, ""budget"": 2, ""best_label"": 3.69390273611}, {""round"": 2, ""budget"": 3, ""best_label"": 2.1638268982900004}, {""round"": 3, ""budget"": 4, ""best_label"": 3.95462864826}, {""round"": 4, ""budget"": 5, ""best_label"": 3.87308538615}, {""round"": 5, ""budget"": 6, ""best_label"": 3.42437310143}, {""round"": 6, ""budget"": 7, ""best_label"": 3.7487968834300007}, {""round"": 7, ""budget"": 8, ""best_label"": 3.49218309006}, {""round"": 8, ""budget"": 9, ""best_label"": 3.83426512387}, {""round"": 9, ""budget"": 10, ""best_label"": 3.77088099505}, {""round"": 10, ""budget"": 11, ""best_label"": 3.69418676746}, {""round"": 11, ""budget"": 12, ""best_label"": 1.5122822007}, {""round"": 12, ""budget"": 13, ""best_label"": 1.40879223401}, {""round"": 13, ""budget"": 14, ""best_label"": 3.63762290154}, {""round"": 14, ""budget"": 15, ""best_label"": 3.4990486760300006}, {""round"": 15, ""budget"": 16, ""best_label"": 3.6341516808}, {""round"": 16, ""budget"": 17, ""best_label"": 3.85358391604}, {""round"": 17, ""budget"": 18, ""best_label"": 3.48354386051}, {""round"": 18, ""budget"": 19, ""best_label"": 3.70183740323}, {""round"": 19, ""budget"": 20, ""best_label"": 1.30102997143}, {""round"": 20, ""budget"": 21, ""best_label"": 3.09255122459}, {""round"": 21, ""budget"": 22, ""best_label"": 3.64218740652}, {""round"": 22, ""budget"": 23, ""best_label"": 3.77577975757}, {""round"": 23, ""budget"": 24, ""best_label"": 4.01921979179}, {""round"": 24, ""budget"": 25, ""best_label"": 3.73135734639}, {""round"": 25, ""budget"": 26, ""best_label"": 1.30103169828}, {""round"": 26, ""budget"": 27, ""best_label"": 3.62485171381}, {""round"": 27, ""budget"": 28, ""best_label"": 3.5320684740099995}, {""round"": 28, ""budget"": 29, ""best_label"": 3.53908519797}, {""round"": 29, ""budget"": 30, ""best_label"": 3.5060989489}]"
v1,22,96,30,4.0192,1.8006,0.2218,0,453.5,"[{""round"": 0, ""budget"": 1, ""best_label"": 3.49218309006}, {""round"": 1, ""budget"": 2, ""best_label"": 3.54112870241}, {""round"": 2, ""budget"": 3, ""best_label"": 3.7487968834300007}, {""round"": 3, ""budget"": 4, ""best_label"": 3.95462864826}, {""round"": 4, ""budget"": 5, ""best_label"": 3.42437310143}, {""round"": 5, ""budget"": 6, ""best_label"": 3.87308538615}, {""round"": 6, ""budget"": 7, ""best_label"": 2.1638268982900004}, {""round"": 7, ""budget"": 8, ""best_label"": 3.63762290154}, {""round"": 8, ""budget"": 9, ""best_label"": 3.77577975757}, {""round"": 9, ""budget"": 10, ""best_label"": 3.62485171381}, {""round"": 10, ""budget"": 11, ""best_label"": 3.53908519797}, {""round"": 11, ""budget"": 12, ""best_label"": 1.30102997143}, {""round"": 12, ""budget"": 13, ""best_label"": 3.85358391604}, {""round"": 13, ""budget"": 14, ""best_label"": 4.01921979179}, {""round"": 14, ""budget"": 15, ""best_label"": 1.5122822007}, {""round"": 15, ""budget"": 16, ""best_label"": 3.63318319672}, {""round"": 16, ""budget"": 17, ""best_label"": 1.40879223401}, {""round"": 17, ""budget"": 18, ""best_label"": 3.73135734639}, {""round"": 18, ""budget"": 19, ""best_label"": 3.70183740323}, {""round"": 19, ""budget"": 20, ""best_label"": 3.69418676746}, {""round"": 20, ""budget"": 21, ""best_label"": 3.83426512387}, {""round"": 21, ""budget"": 22, ""best_label"": 3.6341516808}, {""round"": 22, ""budget"": 23, ""best_label"": 3.40897894389}, {""round"": 23, ""budget"": 24, ""best_label"": 3.56330936636}, {""round"": 24, ""budget"": 25, ""best_label"": 3.61386054768}, {""round"": 25, ""budget"": 26, ""best_label"": 3.77088099505}, {""round"": 26, ""budget"": 27, ""best_label"": 1.60475831556}, {""round"": 27, ""budget"": 28, ""best_label"": 3.39539009576}, {""round"": 28, ""budget"": 29, ""best_label"": 3.64218740652}, {""round"": 29, ""budget"": 30, ""best_label"": 3.70881558511}]"
v1,33,96,30,4.0192,1.8006,0.2384,0,333.2,"[{""round"": 0, ""budget"": 1, ""best_label"": 3.87308538615}, {""round"": 1, ""budget"": 2, ""best_label"": 3.54112870241}, {""round"": 2, ""budget"": 3, ""best_label"": 2.1638268982900004}, {""round"": 3, ""budget"": 4, ""best_label"": 3.42437310143}, {""round"": 4, ""budget"": 5, ""best_label"": 3.69390273611}, {""round"": 5, ""budget"": 6, ""best_label"": 3.7487968834300007}, {""round"": 6, ""budget"": 7, ""best_label"": 3.49218309006}, {""round"": 7, ""budget"": 8, ""best_label"": 3.95462864826}, {""round"": 8, ""budget"": 9, ""best_label"": 3.62485171381}, {""round"": 9, ""budget"": 10, ""best_label"": 3.63318319672}, {""round"": 10, ""budget"": 11, ""best_label"": 3.69418676746}, {""round"": 11, ""budget"": 12, ""best_label"": 3.85358391604}, {""round"": 12, ""budget"": 13, ""best_label"": 3.83426512387}, {""round"": 13, ""budget"": 14, ""best_label"": 3.56330936636}, {""round"": 14, ""budget"": 15, ""best_label"": 4.01921979179}, {""round"": 15, ""budget"": 16, ""best_label"": 1.40879223401}, {""round"": 16, ""budget"": 17, ""best_label"": 3.63762290154}, {""round"": 17, ""budget"": 18, ""best_label"": 3.6341516808}, {""round"": 18, ""budget"": 19, ""best_label"": 3.4990486760300006}, {""round"": 19, ""budget"": 20, ""best_label"": 1.30102997143}, {""round"": 20, ""budget"": 21, ""best_label"": 3.40897894389}, {""round"": 21, ""budget"": 22, ""best_label"": 1.5122822007}, {""round"": 22, ""budget"": 23, ""best_label"": 1.30103169828}, {""round"": 23, ""budget"": 24, ""best_label"": 3.73135734639}, {""round"": 24, ""budget"": 25, ""best_label"": 3.64218740652}, {""round"": 25, ""budget"": 26, ""best_label"": 1.60475831556}, {""round"": 26, ""budget"": 27, ""best_label"": 3.53908519797}, {""round"": 27, ""budget"": 28, ""best_label"": 3.70183740323}, {""round"": 28, ""budget"": 29, ""best_label"": 3.69277808698}, {""round"": 29, ""budget"": 30, ""best_label"": 3.77088099505}]"
v1,44,96,30,4.0192,1.8006,0.2379,0,465.4,"[{""round"": 0, ""budget"": 1, ""best_label"": 3.87308538615}, {""round"": 1, ""budget"": 2, ""best_label"": 3.95462864826}, {""round"": 2, ""budget"": 3, ""best_label"": 3.49218309006}, {""round"": 3, ""budget"": 4, ""best_label"": 2.1638268982900004}, {""round"": 4, ""budget"": 5, ""best_label"": 3.42437310143}, {""round"": 5, ""budget"": 6, ""best_label"": 3.69418676746}, {""round"": 6, ""budget"": 7, ""best_label"": 3.54112870241}, {""round"": 7, ""budget"": 8, ""best_label"": 3.56330936636}, {""round"": 8, ""budget"": 9, ""best_label"": 3.53908519797}, {""round"": 9, ""budget"": 10, ""best_label"": 3.7487968834300007}, {""round"": 10, ""budget"": 11, ""best_label"": 4.01921979179}, {""round"": 11, ""budget"": 12, ""best_label"": 3.63762290154}, {""round"": 12, ""budget"": 13, ""best_label"": 3.77088099505}, {""round"": 13, ""budget"": 14, ""best_label"": 3.70183740323}, {""round"": 14, ""budget"": 15, ""best_label"": 3.6341516808}, {""round"": 15, ""budget"": 16, ""best_label"": 3.62485171381}, {""round"": 16, ""budget"": 17, ""best_label"": 3.77577975757}, {""round"": 17, ""budget"": 18, ""best_label"": 3.64218740652}, {""round"": 18, ""budget"": 19, ""best_label"": 1.40879223401}, {""round"": 19, ""budget"": 20, ""best_label"": 3.73135734639}, {""round"": 20, ""budget"": 21, ""best_label"": 3.4990486760300006}, {""round"": 21, ""budget"": 22, ""best_label"": 3.83426512387}, {""round"": 22, ""budget"": 23, ""best_label"": 3.85358391604}, {""round"": 23, ""budget"": 24, ""best_label"": 3.49986073334}, {""round"": 24, ""budget"": 25, ""best_label"": 1.5122822007}, {""round"": 25, ""budget"": 26, ""best_label"": 1.30103169828}, {""round"": 26, ""budget"": 27, ""best_label"": 3.50269064231}, {""round"": 27, ""budget"": 28, ""best_label"": 3.72536944655}, {""round"": 28, ""budget"": 29, ""best_label"": 3.69368827921}, {""round"": 29, ""budget"": 30, ""best_label"": 3.7061678975}]"
v1,55,96,30,4.0192,1.8006,0.2522,0,231.7,"[{""round"": 0, ""budget"": 1, ""best_label"": 3.87308538615}, {""round"": 1, ""budget"": 2, ""best_label"": 3.49218309006}, {""round"": 2, ""budget"": 3, ""best_label"": 3.69390273611}, {""round"": 3, ""budget"": 4, ""best_label"": 3.54112870241}, {""round"": 4, ""budget"": 5, ""best_label"": 3.95462864826}, {""round"": 5, ""budget"": 6, ""best_label"": 3.7487968834300007}, {""round"": 6, ""budget"": 7, ""best_label"": 3.69418676746}, {""round"": 7, ""budget"": 8, ""best_label"": 3.42437310143}, {""round"": 8, ""budget"": 9, ""best_label"": 1.40879223401}, {""round"": 9, ""budget"": 10, ""best_label"": 3.83426512387}, {""round"": 10, ""budget"": 11, ""best_label"": 3.70183740323}, {""round"": 11, ""budget"": 12, ""best_label"": 4.01921979179}, {""round"": 12, ""budget"": 13, ""best_label"": 3.85358391604}, {""round"": 13, ""budget"": 14, ""best_label"": 1.3020584742}, {""round"": 14, ""budget"": 15, ""best_label"": 3.73135734639}, {""round"": 15, ""budget"": 16, ""best_label"": 3.6341516808}, {""round"": 16, ""budget"": 17, ""best_label"": 1.5122822007}, {""round"": 17, ""budget"": 18, ""best_label"": 3.59115823128}, {""round"": 18, ""budget"": 19, ""best_label"": 3.77088099505}, {""round"": 19, ""budget"": 20, ""best_label"": 3.63762290154}, {""round"": 20, ""budget"": 21, ""best_label"": 3.64218740652}, {""round"": 21, ""budget"": 22, ""best_label"": 3.48354386051}, {""round"": 22, ""budget"": 23, ""best_label"": 3.53908519797}, {""round"": 23, ""budget"": 24, ""best_label"": 3.58638604133}, {""round"": 24, ""budget"": 25, ""best_label"": 1.30103169828}, {""round"": 25, ""budget"": 26, ""best_label"": 2.1638268982900004}, {""round"": 26, ""budget"": 27, ""best_label"": 3.5262850372}, {""round"": 27, ""budget"": 28, ""best_label"": 3.62485171381}, {""round"": 28, ""budget"": 29, ""best_label"": 1.64890944412}, {""round"": 29, ""budget"": 30, ""best_label"": 3.56330936636}]"
v1,66,96,30,4.0192,1.8006,0.2533,0,349.2,"[{""round"": 0, ""budget"": 1, ""best_label"": 3.95462864826}, {""round"": 1, ""budget"": 2, ""best_label"": 3.54112870241}, {""round"": 2, ""budget"": 3, ""best_label"": 2.1638268982900004}, {""round"": 3, ""budget"": 4, ""best_label"": 3.49218309006}, {""round"": 4, ""budget"": 5, ""best_label"": 3.87308538615}, {""round"": 5, ""budget"": 6, ""best_label"": 3.7487968834300007}, {""round"": 6, ""budget"": 7, ""best_label"": 3.6341516808}, {""round"": 7, ""budget"": 8, ""best_label"": 3.48354386051}, {""round"": 8, ""budget"": 9, ""best_label"": 3.77088099505}, {""round"": 9, ""budget"": 10, ""best_label"": 3.77577975757}, {""round"": 10, ""budget"": 11, ""best_label"": 4.01921979179}, {""round"": 11, ""budget"": 12, ""best_label"": 3.85358391604}, {""round"": 12, ""budget"": 13, ""best_label"": 3.83426512387}, {""round"": 13, ""budget"": 14, ""best_label"": 3.5320684740099995}, {""round"": 14, ""budget"": 15, ""best_label"": 3.69418676746}, {""round"": 15, ""budget"": 16, ""best_label"": 3.42437310143}, {""round"": 16, ""budget"": 17, ""best_label"": 3.73135734639}, {""round"": 17, ""budget"": 18, ""best_label"": 3.70183740323}, {""round"": 18, ""budget"": 19, ""best_label"": 3.5262850372}, {""round"": 19, ""budget"": 20, ""best_label"": 1.6038397938}, {""round"": 20, ""budget"": 21, ""best_label"": 1.40879223401}, {""round"": 21, ""budget"": 22, ""best_label"": 3.62485171381}, {""round"": 22, ""budget"": 23, ""best_label"": 1.3010299877200002}, {""round"": 23, ""budget"": 24, ""best_label"": 3.53908519797}, {""round"": 24, ""budget"": 25, ""best_label"": 3.56330936636}, {""round"": 25, ""budget"": 26, ""best_label"": 3.66751301021}, {""round"": 26, ""budget"": 27, ""best_label"": 3.4990486760300006}, {""round"": 27, ""budget"": 28, ""best_label"": 1.30102997143}, {""round"": 28, ""budget"": 29, ""best_label"": 1.5122822007}, {""round"": 29, ""budget"": 30, ""best_label"": 3.58718023282}]"
v1,77,96,30,4.0192,1.8006,0.2496,0,267.3,"[{""round"": 0, ""budget"": 1, ""best_label"": 3.49218309006}, {""round"": 1, ""budget"": 2, ""best_label"": 3.95462864826}, {""round"": 2, ""budget"": 3, ""best_label"": 3.54112870241}, {""round"": 3, ""budget"": 4, ""best_label"": 3.7487968834300007}, {""round"": 4, ""budget"": 5, ""best_label"": 2.1638268982900004}, {""round"": 5, ""budget"": 6, ""best_label"": 3.87308538615}, {""round"": 6, ""budget"": 7, ""best_label"": 3.63762290154}, {""round"": 7, ""budget"": 8, ""best_label"": 3.85358391604}, {""round"": 8, ""budget"": 9, ""best_label"": 3.64218740652}, {""round"": 9, ""budget"": 10, ""best_label"": 3.77577975757}, {""round"": 10, ""budget"": 11, ""best_label"": 3.4188163993000003}, {""round"": 11, ""budget"": 12, ""best_label"": 3.53908519797}, {""round"": 12, ""budget"": 13, ""best_label"": 3.42437310143}, {""round"": 13, ""budget"": 14, ""best_label"": 3.69418676746}, {""round"": 14, ""budget"": 15, ""best_label"": 3.62485171381}, {""round"": 15, ""budget"": 16, ""best_label"": 3.5500401630300003}, {""round"": 16, ""budget"": 17, ""best_label"": 3.6341516808}, {""round"": 17, ""budget"": 18, ""best_label"": 4.01921979179}, {""round"": 18, ""budget"": 19, ""best_label"": 1.5122822007}, {""round"": 19, ""budget"": 20, ""best_label"": 1.60475831556}, {""round"": 20, ""budget"": 21, ""best_label"": 1.40879223401}, {""round"": 21, ""budget"": 22, ""best_label"": 3.73135734639}, {""round"": 22, ""budget"": 23, ""best_label"": 3.59115823128}, {""round"": 23, ""budget"": 24, ""best_label"": 3.4990486760300006}, {""round"": 24, ""budget"": 25, ""best_label"": 3.70183740323}, {""round"": 25, ""budget"": 26, ""best_label"": 3.56330936636}, {""round"": 26, ""budget"": 27, ""best_label"": 3.5320684740099995}, {""round"": 27, ""budget"": 28, ""best_label"": 3.48354386051}, {""round"": 28, ""budget"": 29, ""best_label"": 1.30102997143}, {""round"": 29, ""budget"": 30, ""best_label"": 3.66751301021}]"
v1,88,96,30,4.0192,1.8006,0.2443,0,247.1,"[{""round"": 0, ""budget"": 1, ""best_label"": 2.1638268982900004}, {""round"": 1, ""budget"": 2, ""best_label"": 3.49218309006}, {""round"": 2, ""budget"": 3, ""best_label"": 3.87308538615}, {""round"": 3, ""budget"": 4, ""best_label"": 3.95462864826}, {""round"": 4, ""budget"": 5, ""best_label"": 3.7487968834300007}, {""round"": 5, ""budget"": 6, ""best_label"": 3.69418676746}, {""round"": 6, ""budget"": 7, ""best_label"": 3.54112870241}, {""round"": 7, ""budget"": 8, ""best_label"": 3.6341516808}, {""round"": 8, ""budget"": 9, ""best_label"": 3.72536944655}, {""round"": 9, ""budget"": 10, ""best_label"": 3.5320684740099995}, {""round"": 10, ""budget"": 11, ""best_label"": 3.85358391604}, {""round"": 11, ""budget"": 12, ""best_label"": 3.63762290154}, {""round"": 12, ""budget"": 13, ""best_label"": 3.42437310143}, {""round"": 13, ""budget"": 14, ""best_label"": 3.64218740652}, {""round"": 14, ""budget"": 15, ""best_label"": 3.73135734639}, {""round"": 15, ""budget"": 16, ""best_label"": 3.4990486760300006}, {""round"": 16, ""budget"": 17, ""best_label"": 3.70183740323}, {""round"": 17, ""budget"": 18, ""best_label"": 3.53908519797}, {""round"": 18, ""budget"": 19, ""best_label"": 1.40879223401}, {""round"": 19, ""budget"": 20, ""best_label"": 3.77088099505}, {""round"": 20, ""budget"": 21, ""best_label"": 3.58638604133}, {""round"": 21, ""budget"": 22, ""best_label"": 4.01921979179}, {""round"": 22, ""budget"": 23, ""best_label"": 3.77577975757}, {""round"": 23, ""budget"": 24, ""best_label"": 3.83426512387}, {""round"": 24, ""budget"": 25, ""best_label"": 1.3020584742}, {""round"": 25, ""budget"": 26, ""best_label"": 3.62485171381}, {""round"": 26, ""budget"": 27, ""best_label"": 1.5122822007}, {""round"": 27, ""budget"": 28, ""best_label"": 3.69368827921}, {""round"": 28, ""budget"": 29, ""best_label"": 3.58262161652}, {""round"": 29, ""budget"": 30, ""best_label"": 1.30102997143}]"
v1,11,192,30,4.0192,1.8006,0.2467,0,302.6,"[{""round"": 0, ""budget"": 1, ""best_label"": 3.54112870241}, {""round"": 1, ""budget"": 2, ""best_label"": 3.69390273611}, {""round"": 2, ""budget"": 3, ""best_label"": 2.1638268982900004}, {""round"": 3, ""budget"": 4, ""best_label"": 3.95462864826}, {""round"": 4, ""budget"": 5, ""best_label"": 3.87308538615}, {""round"": 5, ""budget"": 6, ""best_label"": 3.42437310143}, {""round"": 6, ""budget"": 7, ""best_label"": 3.7487968834300007}, {""round"": 7, ""budget"": 8, ""best_label"": 3.49218309006}, {""round"": 8, ""budget"": 9, ""best_label"": 3.83426512387}, {""round"": 9, ""budget"": 10, ""best_label"": 3.77088099505}, {""round"": 10, ""budget"": 11, ""best_label"": 3.69418676746}, {""round"": 11, ""budget"": 12, ""best_label"": 1.5122822007}, {""round"": 12, ""budget"": 13, ""best_label"": 1.40879223401}, {""round"": 13, ""budget"": 14, ""best_label"": 3.63762290154}, {""round"": 14, ""budget"": 15, ""best_label"": 3.4990486760300006}, {""round"": 15, ""budget"": 16, ""best_label"": 3.6341516808}, {""round"": 16, ""budget"": 17, ""best_label"": 3.85358391604}, {""round"": 17, ""budget"": 18, ""best_label"": 3.48354386051}, {""round"": 18, ""budget"": 19, ""best_label"": 3.70183740323}, {""round"": 19, ""budget"": 20, ""best_label"": 1.30102997143}, {""round"": 20, ""budget"": 21, ""best_label"": 3.09255122459}, {""round"": 21, ""budget"": 22, ""best_label"": 3.64218740652}, {""round"": 22, ""budget"": 23, ""best_label"": 3.77577975757}, {""round"": 23, ""budget"": 24, ""best_label"": 4.01921979179}, {""round"": 24, ""budget"": 25, ""best_label"": 3.73135734639}, {""round"": 25, ""budget"": 26, ""best_label"": 1.30103169828}, {""round"": 26, ""budget"": 27, ""best_label"": 3.62485171381}, {""round"": 27, ""budget"": 28, ""best_label"": 3.5320684740099995}, {""round"": 28, ""budget"": 29, ""best_label"": 3.53908519797}, {""round"": 29, ""budget"": 30, ""best_label"": 3.5060989489}]"
v1,22,192,30,4.0192,1.8006,0.2218,0,397.6,"[{""round"": 0, ""budget"": 1, ""best_label"": 3.49218309006}, {""round"": 1, ""budget"": 2, ""best_label"": 3.54112870241}, {""round"": 2, ""budget"": 3, ""best_label"": 3.7487968834300007}, {""round"": 3, ""budget"": 4, ""best_label"": 3.95462864826}, {""round"": 4, ""budget"": 5, ""best_label"": 3.42437310143}, {""round"": 5, ""budget"": 6, ""best_label"": 3.87308538615}, {""round"": 6, ""budget"": 7, ""best_label"": 2.1638268982900004}, {""round"": 7, ""budget"": 8, ""best_label"": 3.63762290154}, {""round"": 8, ""budget"": 9, ""best_label"": 3.77577975757}, {""round"": 9, ""budget"": 10, ""best_label"": 3.62485171381}, {""round"": 10, ""budget"": 11, ""best_label"": 3.53908519797}, {""round"": 11, ""budget"": 12, ""best_label"": 1.30102997143}, {""round"": 12, ""budget"": 13, ""best_label"": 3.85358391604}, {""round"": 13, ""budget"": 14, ""best_label"": 4.01921979179}, {""round"": 14, ""budget"": 15, ""best_label"": 1.5122822007}, {""round"": 15, ""budget"": 16, ""best_label"": 3.63318319672}, {""round"": 16, ""budget"": 17, ""best_label"": 1.40879223401}, {""round"": 17, ""budget"": 18, ""best_label"": 3.73135734639}, {""round"": 18, ""budget"": 19, ""best_label"": 3.70183740323}, {""round"": 19, ""budget"": 20, ""best_label"": 3.69418676746}, {""round"": 20, ""budget"": 21, ""best_label"": 3.83426512387}, {""round"": 21, ""budget"": 22, ""best_label"": 3.6341516808}, {""round"": 22, ""budget"": 23, ""best_label"": 3.40897894389}, {""round"": 23, ""budget"": 24, ""best_label"": 3.56330936636}, {""round"": 24, ""budget"": 25, ""best_label"": 3.61386054768}, {""round"": 25, ""budget"": 26, ""best_label"": 3.77088099505}, {""round"": 26, ""budget"": 27, ""best_label"": 1.60475831556}, {""round"": 27, ""budget"": 28, ""best_label"": 3.39539009576}, {""round"": 28, ""budget"": 29, ""best_label"": 3.64218740652}, {""round"": 29, ""budget"": 30, ""best_label"": 3.70881558511}]"
